Number,Magnitude,Magnitude error,R_e,R_e error (arcsec),Redshift,Paper,Band,R_e (Unit),Magnitude Type
1,26.77,,0.167,,7,G12,J,arcsec,Apparent
2,27.07,,0.187,,7,G12,J,arcsec,Apparent
3,26.48,,0.258,,7,G12,J,arcsec,Apparent
4,27.33,,0.175,,7,G12,J,arcsec,Apparent
5,26.50,,0.116,,7,G12,J,arcsec,Apparent
6,26.99,,0.140,,7,G12,J,arcsec,Apparent
7,27.67,,0.199,,7,G12,J,arcsec,Apparent
8,27.15,,0.264,,7,G12,J,arcsec,Apparent
9,26.66,,0.204,,7,G12,J,arcsec,Apparent
10,26.54,,0.161,,7,G12,J,arcsec,Apparent
11,27.64,,0.131,,7,G12,J,arcsec,Apparent
12,26.17,,0.321,,7,G12,J,arcsec,Apparent
13,27.64,,0.142,,7,G12,J,arcsec,Apparent
14,27.33,,0.160,,7,G12,J,arcsec,Apparent
15,27.60,,0.189,,7,G12,J,arcsec,Apparent
16,26.95,,0.215,,7,G12,J,arcsec,Apparent
17,25.73,,0.149,,7,G12,J,arcsec,Apparent
18,26.99,,0.134,,7,G12,J,arcsec,Apparent
19,27.80,,0.134,,7,G12,J,arcsec,Apparent
20,26.32,,0.188,,7,G12,J,arcsec,Apparent
21,27.28,,0.119,,7,G12,J,arcsec,Apparent
22,28.50,,0.189,,7,G12,J,arcsec,Apparent
23,27.26,,0.352,,7,G12,J,arcsec,Apparent
24,28.40,,0.140,,7,G12,J,arcsec,Apparent
25,28.12,,0.235,,7,G12,J,arcsec,Apparent
26,28.60,,0.197,,7,G12,J,arcsec,Apparent
27,27.51,,0.141,,7,G12,J,arcsec,Apparent
28,27.19,,0.187,,7,G12,J,arcsec,Apparent
29,27.72,,0.171,,7,G12,J,arcsec,Apparent
30,28.29,,0.115,,7,G12,J,arcsec,Apparent
31,28.79,,0.123,,7,G12,J,arcsec,Apparent
32,27.93,,0.106,,7,G12,J,arcsec,Apparent
33,27.01,,0.176,,7,G12,J,arcsec,Apparent
34,27.96,,0.104,,7,G12,J,arcsec,Apparent
35,28.43,,0.149,,7,G12,J,arcsec,Apparent
36,28.41,,0.134,,7,G12,J,arcsec,Apparent
37,28.24,,0.193,,7,G12,J,arcsec,Apparent
38,27.41,,0.190,,7,G12,J,arcsec,Apparent
39,28.68,,0.137,,7,G12,J,arcsec,Apparent
40,28.78,,0.122,,7,G12,J,arcsec,Apparent
41,25.94,,0.162,,7,G12,J,arcsec,Apparent
42,28.10,,0.115,,7,G12,J,arcsec,Apparent
43,27.85,,0.122,,7,G12,J,arcsec,Apparent
44,28.65,,0.129,,7,G12,J,arcsec,Apparent
45,26.59,,0.151,,7,G12,J,arcsec,Apparent
46,25.72,,0.184,,7,G12,J,arcsec,Apparent
47,26.64,,0.140,,7,G12,J,arcsec,Apparent
48,26.54,,0.156,,7,G12,J,arcsec,Apparent
49,26.43,,0.176,,7,G12,J,arcsec,Apparent
50,26.49,,0.174,,7,G12,J,arcsec,Apparent
51,25.92,,0.182,,7,G12,J,arcsec,Apparent
52,25.62,,0.159,,7,G12,J,arcsec,Apparent
53,25.70,,0.326,,7,G12,J,arcsec,Apparent
54,25.66,,0.148,,7,G12,J,arcsec,Apparent
55,26.23,,0.214,,7,G12,J,arcsec,Apparent
56,26.02,,0.179,,7,G12,J,arcsec,Apparent
57,26.18,,0.239,,7,G12,J,arcsec,Apparent
58,26.04,,0.244,,7,G12,J,arcsec,Apparent
59,26.57,,0.172,,7,G12,J,arcsec,Apparent
60,25.43,,0.241,,7,G12,J,arcsec,Apparent
61,26.00,,0.160,,7,G12,J,arcsec,Apparent
62,26.30,,0.189,,7,G12,J,arcsec,Apparent
63,26.48,,0.148,,7,G12,J,arcsec,Apparent
64,26.50,,0.121,,7,G12,J,arcsec,Apparent
65,26.02,,0.247,,7,G12,J,arcsec,Apparent
66,26.37,,0.180,,7,G12,J,arcsec,Apparent
67,26.59,,0.160,,7,G12,J,arcsec,Apparent
68,26.34,,0.186,,7,G12,J,arcsec,Apparent
69,26.16,,0.145,,7,G12,J,arcsec,Apparent
70,26.17,,0.158,,7,G12,J,arcsec,Apparent
71,26.25,,0.193,,7,G12,J,arcsec,Apparent
72,26.10,,0.170,,7,G12,J,arcsec,Apparent
73,26.03,,0.179,,7,G12,J,arcsec,Apparent
74,26.55,,0.156,,7,G12,J,arcsec,Apparent
75,25.53,,0.410,,7,G12,J,arcsec,Apparent
76,25.83,,0.234,,7,G12,J,arcsec,Apparent
77,25.58,,0.115,,7,G12,J,arcsec,Apparent
78,26.65,,0.147,,7,G12,J,arcsec,Apparent
79,26.21,,0.196,,7,G12,J,arcsec,Apparent
80,26.35,,0.151,,7,G12,J,arcsec,Apparent
81,25.86,,0.224,,7,G12,J,arcsec,Apparent
82,25.97,,0.210,,7,G12,J,arcsec,Apparent
83,25.98,,0.143,,7,G12,J,arcsec,Apparent
84,26.12,,0.160,,7,G12,J,arcsec,Apparent
85,25.79,,0.188,,7,G12,J,arcsec,Apparent
86,26.61,,0.148,,7,G12,J,arcsec,Apparent
87,25.86,,0.179,,7,G12,J,arcsec,Apparent
88,26.28,,0.188,,7,G12,J,arcsec,Apparent
89,26.70,,0.122,,7,G12,J,arcsec,Apparent
90,25.68,,0.196,,7,G12,J,arcsec,Apparent
91,25.52,,0.210,,7,G12,J,arcsec,Apparent
92,25.81,,0.199,,7,G12,J,arcsec,Apparent
93,26.26,,0.152,,7,G12,J,arcsec,Apparent
94,26.62,,0.149,,7,G12,J,arcsec,Apparent
95,25.64,,0.303,,7,G12,J,arcsec,Apparent
96,26.25,,0.205,,7,G12,J,arcsec,Apparent
97,25.32,,0.196,,7,G12,J,arcsec,Apparent
98,26.62,,0.160,,7,G12,J,arcsec,Apparent
99,25.43,,0.203,,7,G12,J,arcsec,Apparent
100,26.56,,0.162,,7,G12,J,arcsec,Apparent
101,26.26,,0.199,,7,G12,J,arcsec,Apparent
102,26.22,,0.228,,7,G12,J,arcsec,Apparent
103,26.64,,0.159,,7,G12,J,arcsec,Apparent
104,26.13,,0.146,,7,G12,J,arcsec,Apparent
105,26.11,,0.248,,7,G12,J,arcsec,Apparent
106,26.57,,0.141,,7,G12,J,arcsec,Apparent
107,25.46,,0.218,,7,G12,J,arcsec,Apparent
108,26.40,,0.149,,7,G12,J,arcsec,Apparent
109,26.54,,0.145,,7,G12,J,arcsec,Apparent
110,26.03,,0.225,,7,G12,J,arcsec,Apparent
111,26.19,,0.182,,7,G12,J,arcsec,Apparent
112,24.53,0.10,0.23,,10.0,C16,H,arcsec,Apparent
113,26.41,0.19,0.37,,10.5,C16,H,arcsec,Apparent
114,25.12,0.17,0.17,,8.4,C16,H,arcsec,Apparent
115,24.94,0.20,0.08,,8.7,C16,H,arcsec,Apparent
116,25.35,0.26,0.13,,8.4,C16,H,arcsec,Apparent
117,24.99,0.18,0.25,,7.9,C16,H,arcsec,Apparent
118,25.26,0.14,0.08,,7.6,C16,H,arcsec,Apparent
119,26.12,0.19,0.17,,7.3,C16,H,arcsec,Apparent
120,25.20,0.23,0.18,,7.6,C16,H,arcsec,Apparent
121,26.07,,0.256,,7,G11,J,arcsec,Apparent
122,27.09,,0.147,,7,G11,J,arcsec,Apparent
123,27.18,,0.138,,7,G11,J,arcsec,Apparent
124,27.36,,0.134,,7,G11,J,arcsec,Apparent
125,27.47,,0.161,,7,G11,J,arcsec,Apparent
126,27.62,,0.120,,7,G11,J,arcsec,Apparent
127,27.82,,0.168,,7,G11,J,arcsec,Apparent
128,27.90,,0.144,,7,G11,J,arcsec,Apparent
129,27.94,,0.160,,7,G11,J,arcsec,Apparent
130,27.99,,0.160,,7,G11,J,arcsec,Apparent
131,28.07,,0.154,,7,G11,J,arcsec,Apparent
132,28.07,,0.140,,7,G11,J,arcsec,Apparent
133,28.12,,0.133,,7,G11,J,arcsec,Apparent
134,28.19,,0.190,,7,G11,J,arcsec,Apparent
135,28.21,,0.169,,7,G11,J,arcsec,Apparent
136,28.34,,0.180,,7,G11,J,arcsec,Apparent
137,28.34,,0.148,,7,G11,J,arcsec,Apparent
138,28.49,,0.152,,7,G11,J,arcsec,Apparent
139,28.73,,0.129,,7,G11,J,arcsec,Apparent
140,29.03,,0.109,,7,G11,J,arcsec,Apparent
141,25.54,,0.202,,7,G11,J,arcsec,Apparent
142,25.98,,0.254,,7,G11,J,arcsec,Apparent
143,26.08,,0.275,,7,G11,J,arcsec,Apparent
144,26.43,,0.225,,7,G11,J,arcsec,Apparent
145,26.61,,0.135,,7,G11,J,arcsec,Apparent
146,26.72,,0.128,,7,G11,J,arcsec,Apparent
147,26.98,,0.120,,7,G11,J,arcsec,Apparent
148,27.00,,0.178,,7,G11,J,arcsec,Apparent
149,27.01,,0.129,,7,G11,J,arcsec,Apparent
150,27.03,,0.159,,7,G11,J,arcsec,Apparent
151,27.09,,0.146,,7,G11,J,arcsec,Apparent
152,27.11,,0.197,,7,G11,J,arcsec,Apparent
153,27.13,,0.185,,7,G11,J,arcsec,Apparent
154,27.14,,0.136,,7,G11,J,arcsec,Apparent
155,27.16,,0.357,,7,G11,J,arcsec,Apparent
156,27.19,,0.288,,7,G11,J,arcsec,Apparent
157,27.30,,0.140,,7,G11,J,arcsec,Apparent
158,27.31,,0.130,,7,G11,J,arcsec,Apparent
159,27.33,,0.168,,7,G11,J,arcsec,Apparent
160,27.35,,0.145,,7,G11,J,arcsec,Apparent
161,27.36,,0.136,,7,G11,J,arcsec,Apparent
162,27.37,,0.148,,7,G11,J,arcsec,Apparent
163,26.59,,0.67,,8.2,K18,UV,kpc,Apparent
164,27.17,,0.50,,8.4,K18,UV,kpc,Apparent
165,28.70,,0.21,,9.5,K18,UV,kpc,Apparent
166,28.67,,0.10,,8.3,K18,UV,kpc,Apparent
