ID^a,R.A.,Decl.,"m_UV^b^,^c",M_UV^c,"r_e/kpc^c^,^d",e,mu_best^e,mu^f,z_photo,,,,,,,,,,
2481-2561,3.603379,-30.382255,${26.59}_{-0.34}^{+0.17}$,$-{20.73}_{-0.34}^{+0.17}$,${0.67}_{-0.16}^{+0.12}$,0.56,1.42,${1.49}_{-0.06}^{+0.08}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
2492-2561,3.603859,-30.382262,${27.17}_{-0.21}^{+0.21}$,$-{20.15}_{-0.21}^{+0.21}$,${0.50}_{-0.12}^{+0.12}$,0.51,1.41,${1.48}_{-0.06}^{+0.08}$,${8.4}_{-0.9}^{+0.9}$,,,,,,,,,,
2220-4053,3.592512,-30.401486,${28.70}_{-0.31}^{+0.42}$,$-{18.62}_{-0.31}^{+0.42}$,${0.21}_{-0.06}^{+0.09}$,0.50,12.00,${14.37}_{-0.90}^{+1.22}$,${9.5}_{-7.3}^{+1.1}$,,,,,,,,,,
5363-4016,3.473469,-30.400459,${28.67}_{-0.17}^{+0.18}$,$-{18.65}_{-0.17}^{+0.18}$,${0.10}_{-0.05}^{+0.07}$,0.75,1.08,${1.02}_{-0.01}^{+0.01}$,${8.3}_{-6.6}^{+0.9}$,,,,,,,,,,
5364-3024,3.473522,-30.384024,${28.46}_{-0.21}^{+0.32}$,$-{18.86}_{-0.21}^{+0.32}$,${0.19}_{-0.07}^{+0.09}$,0.71,1.09,${1.03}_{-0.01}^{+0.01}$,${8.7}_{-6.3}^{+1.0}$,,,,,,,,,,
5733-3462,3.488893,-30.396182,${27.82}_{-0.23}^{+0.24}$,$-{19.50}_{-0.23}^{+0.24}$,${0.36}_{-0.12}^{+0.16}$,0.60,1.10,${1.03}_{-0.01}^{+0.02}$,${8.7}_{-0.9}^{+1.0}$,,,,,,,,,,
5386-2074,3.474446,-30.368728,${28.17}_{-0.27}^{+0.32}$,$-{19.15}_{-0.27}^{+0.32}$,${0.31}_{-0.15}^{+0.17}$,0.90,1.08,${1.05}_{-0.01}^{+0.01}$,${8.9}_{-6.9}^{+1.0}$,,,,,,,,,,
1151-4540,64.047984,-24.081671,${27.12}_{-0.17}^{+0.12}$,$-{20.20}_{-0.17}^{+0.12}$,${0.25}_{-0.06}^{+0.05}$,0.57,1.44,${1.50}_{-0.03}^{+0.04}$,${8.4}_{-0.9}^{+0.9}$,,,,,,,,,,
0939-5354,64.039161,-24.093184,${25.76}_{-0.45}^{+0.42}$,$-{21.56}_{-0.45}^{+0.42}$,${0.50}_{-0.21}^{+0.20}$,0.42,1.39,${1.43}_{-0.03}^{+0.03}$,${8.5}_{-0.9}^{+1.0}$,,,,,,,,,,
0901-5172,64.037566,-24.088113,${28.78}_{-0.24}^{+0.30}$,$-{18.54}_{-0.24}^{+0.30}$,${0.40}_{-0.13}^{+0.17}$,0.69,1.70,${1.79}_{-0.05}^{+0.06}$,${8.3}_{-0.9}^{+1.0}$,,,,,,,,,,
3441-6014,64.143392,-24.100397,${27.79}_{-0.18}^{+0.18}$,$-{19.53}_{-0.18}^{+0.18}$,${0.14}_{-0.06}^{+0.06}$,0.56,1.00,${1.00}_{-0.01}^{+0.01}$,${2.1}_{-0.5}^{+6.1}$,,,,,,,,,,
3596-6480,64.149865,-24.113352,${27.83}_{-0.18}^{+0.18}$,$-{19.50}_{-0.18}^{+0.18}$,${0.24}_{-0.09}^{+0.10}$,0.17,1.00,${0.99}_{-0.00}^{+0.01}$,${8.5}_{-0.9}^{+1.0}$,,,,,,,,,,
3549-6422,64.147906,-24.111728,${28.45}_{-0.21}^{+0.32}$,$-{18.87}_{-0.21}^{+0.32}$,${0.19}_{-0.07}^{+0.09}$,0.90,1.00,${1.00}_{-0.00}^{+0.01}$,${8.4}_{-1.0}^{+0.9}$,,,,,,,,,,
3042-6011,64.126780,-24.100325,${28.39}_{-0.24}^{+0.31}$,$-{18.93}_{-0.24}^{+0.31}$,${0.54}_{-0.17}^{+0.23}$,0.46,1.01,${1.00}_{-0.01}^{+0.01}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
3172-6467,64.132190,-24.112994,${28.53}_{-0.21}^{+0.32}$,$-{18.79}_{-0.21}^{+0.32}$,${0.39}_{-0.15}^{+0.18}$,0.64,1.00,${1.00}_{-0.00}^{+0.01}$,${8.8}_{-2.0}^{+1.0}$,,,,,,,,,,
3736-6107,64.155669,-24.102997,${28.43}_{-0.17}^{+0.19}$,$-{18.89}_{-0.17}^{+0.19}$,${0.09}_{-0.05}^{+0.06}$,0.90,1.00,${1.00}_{-0.01}^{+0.01}$,${8.6}_{-6.8}^{+0.9}$,,,,,,,,,,
2251-9452,109.343799,37.829235,${27.73}_{-0.18}^{+0.18}$,$-{19.60}_{-0.18}^{+0.18}$,${0.15}_{-0.06}^{+0.07}$,0.55,1.14,${1.18}_{-0.04}^{+0.02}$,${8.3}_{-0.9}^{+0.9}$,,,,,,,,,,
1821-9546,109.325904,37.831848,${27.60}_{-0.23}^{+0.24}$,$-{19.72}_{-0.23}^{+0.24}$,${0.34}_{-0.12}^{+0.15}$,0.78,1.14,${1.17}_{-0.02}^{+0.02}$,${2.2}_{-0.7}^{+6.2}$,,,,,,,,,,
1762-9402,109.323423,37.827843,${28.40}_{-0.17}^{+0.19}$,$-{18.92}_{-0.17}^{+0.19}$,${0.08}_{-0.04}^{+0.06}$,0.90,1.17,${1.19}_{-0.02}^{+0.02}$,${7.6}_{-6.1}^{+1.1}$,,,,,,,,,,
3358-4457,177.389950,22.412711,${28.58}_{-0.15}^{+0.06}$,$-{18.74}_{-0.15}^{+0.06}$,${0.10}_{-0.02}^{+0.01}$,0.53,17.51,${6.44}_{-3.64}^{+21.86}$,${9.2}_{-1.0}^{+1.0}$,,,,,,,,,,
4024-4492,177.417700,22.413691,${27.82}_{-0.18}^{+0.18}$,$-{19.50}_{-0.18}^{+0.18}$,${0.13}_{-0.05}^{+0.06}$,0.90,1.63,${1.69}_{-0.14}^{+0.23}$,${8.4}_{-0.9}^{+0.9}$,,,,,,,,,,
3373-4483,177.390553,22.413417,${31.90}_{-0.18}^{+0.21}$,$-{15.42}_{-0.18}^{+0.21}$,${0.06}_{-0.02}^{+0.02}$,0.90,63.34,${18.30}_{-12.02}^{+40.36}$,${8.7}_{-6.9}^{+0.9}$,,,,,,,,,,
3617-3327,177.400727,22.392425,${31.58}_{-0.18}^{+0.22}$,$-{15.74}_{-0.18}^{+0.22}$,${0.08}_{-0.02}^{+0.03}$,0.90,35.85,${41.22}_{-7.02}^{+12.10}$,${8.5}_{-6.2}^{+0.9}$,,,,,,,,,,
3745-6484,177.406058,22.280112,${26.26}_{-0.23}^{+0.20}$,$-{21.06}_{-0.23}^{+0.20}$,${0.34}_{-0.14}^{+0.11}$,0.69,1.01,${1.00}_{-0.01}^{+0.01}$,${8.4}_{-0.9}^{+0.9}$,,,,,,,,,,
3994-7367,177.416441,22.293541,${27.63}_{-0.11}^{+0.12}$,$-{19.69}_{-0.11}^{+0.12}$,${0.04}_{-0.02}^{+0.03}$,0.89,1.01,${1.01}_{-0.01}^{+0.01}$,${9.2}_{-1.0}^{+1.0}$,,,,,,,,,,
4205-8351,177.425216,22.309763,${28.38}_{-0.21}^{+0.33}$,$-{18.94}_{-0.21}^{+0.33}$,${0.41}_{-0.15}^{+0.19}$,0.89,1.04,${1.02}_{-0.01}^{+0.01}$,${2.1}_{-0.8}^{+7.2}$,,,,,,,,,,
4316-1323^g,342.179874,-44.525660,${29.28}_{-0.30}^{+0.42}$,$-{18.04}_{-0.30}^{+0.42}$,${0.15}_{-0.03}^{+0.09}$,0.12,29.57,${30.24}_{-2.54}^{+2.28}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
4374-1338^g,342.182264,-44.526073,${30.45}_{-0.19}^{+0.23}$,$-{16.87}_{-0.19}^{+0.23}$,${0.09}_{-0.03}^{+0.03}$,0.46,24.15,${24.72}_{-1.30}^{+1.38}$,${8.5}_{-0.9}^{+1.0}$,,,,,,,,,,
1975-2112,342.332299,-44.536446,${28.23}_{-0.17}^{+0.19}$,$-{19.09}_{-0.17}^{+0.19}$,${0.05}_{-0.02}^{+0.03}$,0.57,1.06,${1.06}_{-0.00}^{+0.00}$,${2.1}_{-0.4}^{+6.6}$,,,,,,,,,,
2042-2369,342.335117,-44.543602,${28.79}_{-0.17}^{+0.18}$,$-{18.53}_{-0.17}^{+0.18}$,${0.11}_{-0.06}^{+0.08}$,0.88,1.06,${1.06}_{-0.00}^{+0.00}$,${8.3}_{-6.6}^{+1.0}$,,,,,,,,,,
2092-3100,342.337187,-44.552795,${28.80}_{-0.19}^{+0.20}$,$-{18.52}_{-0.19}^{+0.20}$,${0.06}_{-0.03}^{+0.06}$,0.90,1.05,${1.05}_{-0.00}^{+0.00}$,${8.2}_{-2.4}^{+0.9}$,,,,,,,,,,
5578-4519^g,39.982427,-1.581097,${28.42}_{-0.21}^{+0.18}$,$-{18.90}_{-0.21}^{+0.18}$,${0.09}_{-0.04}^{+0.03}$,0.81,8.26,${7.77}_{-0.49}^{+0.51}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
5421-5141^g,39.975875,-1.587260,${28.23}_{-0.16}^{+0.12}$,$-{19.09}_{-0.16}^{+0.12}$,${0.06}_{-0.03}^{+0.02}$,0.90,4.55,${4.45}_{-0.32}^{+0.30}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
1247-6578,40.051970,-1.616066,${27.57}_{-0.23}^{+0.27}$,$-{19.76}_{-0.23}^{+0.27}$,${0.44}_{-0.13}^{+0.14}$,0.66,1.26,${1.18}_{-0.03}^{+0.03}$,${2.1}_{-0.8}^{+5.7}$,,,,,,,,,,
1350-7372,40.056259,-1.627015,${27.65}_{-0.23}^{+0.27}$,$-{19.67}_{-0.23}^{+0.27}$,${0.42}_{-0.12}^{+0.14}$,0.38,1.23,${1.16}_{-0.03}^{+0.03}$,${8.3}_{-6.5}^{+1.2}$,,,,,,,,,,
1194-8213,40.049784,-1.639252,${28.38}_{-0.21}^{+0.33}$,$-{18.94}_{-0.21}^{+0.33}$,${0.24}_{-0.09}^{+0.11}$,0.89,1.23,${1.16}_{-0.03}^{+0.03}$,${8.9}_{-1.0}^{+1.0}$,,,,,,,,,,
1311-7372,40.054627,-1.627015,${27.08}_{-0.46}^{+0.28}$,$-{20.24}_{-0.46}^{+0.28}$,${0.73}_{-0.16}^{+0.44}$,0.31,1.23,${1.16}_{-0.03}^{+0.03}$,${8.5}_{-6.7}^{+0.9}$,,,,,,,,,,
1293-6262,40.053900,-1.607296,${28.75}_{-0.19}^{+0.20}$,$-{18.57}_{-0.19}^{+0.20}$,${0.06}_{-0.03}^{+0.06}$,0.77,1.27,${1.18}_{-0.03}^{+0.04}$,${8.9}_{-6.5}^{+1.0}$,,,,,,,,,,
1514-7171,40.063097,-1.621433,${28.66}_{-0.32}^{+0.22}$,$-{18.66}_{-0.32}^{+0.22}$,${0.55}_{-0.15}^{+0.14}$,0.02,1.22,${1.14}_{-0.02}^{+0.03}$,${8.6}_{-7.0}^{+1.1}$,,,,,,,,,,
